"Status","TargetFile","SourceFile","SourcePath","TargetPath"
"Copied","classic_188.mp3","62 Radetzky-Marsch.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\62 Radetzky-Marsch.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_188.mp3"
"Copied","classic_189.mp3","91 Brindisi - La Traviata.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\91 Brindisi - La Traviata.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_189.mp3"
"Copied","classic_190.mp3","100 Rondo alla Turca - Türkischer Marsch.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\100 Rondo alla Turca - Türkischer Marsch.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_190.mp3"
"Copied","classic_191.mp3","12 12 Études, Op. 10_ No. 12 in C Minor _Revolutionary_.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\12 12 Études, Op. 10_ No. 12 in C Minor _Revolutionary_.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_191.mp3"
"Copied","classic_192.mp3","16 Sinfonie No. 3, Die Rheinische, 1. Satz.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\16 Sinfonie No. 3, Die Rheinische, 1. Satz.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_192.mp3"
"Copied","classic_193.mp3","09 Wiegenlied, Op. 49, No. 4.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\09 Wiegenlied, Op. 49, No. 4.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_193.mp3"
"Copied","classic_194.mp3","01 Haydn_ Trumpet Concerto In E Flat - I Allegro.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\01 Haydn_ Trumpet Concerto In E Flat - I Allegro.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_194.mp3"
"Copied","classic_195.mp3","03 Fantasie in C Major, Op. 17_ III. Langsam getragen. Durchaus leise zu halten.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\03 Fantasie in C Major, Op. 17_ III. Langsam getragen. Durchaus leise zu halten.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_195.mp3"
"Copied","classic_196.mp3","01 The Four Seasons, Violin Concerto in E Major, RV 269 _ Spring _ _ Allegro.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\01 The Four Seasons, Violin Concerto in E Major, RV 269 _ Spring _ _ Allegro.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_196.mp3"
"Copied","classic_197.mp3","02 Der Hölle Rache - Die Zauberflöte.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\02 Der Hölle Rache - Die Zauberflöte.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_197.mp3"
"ExpectedMissing","classic_015.mp3","","","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_015.mp3"
"ExpectedMissing","classic_029.mp3","","","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_029.mp3"
"ExpectedMissing","classic_034.mp3","","","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_034.mp3"
"ExpectedMissing","classic_066.mp3","","","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_066.mp3"
"ExpectedMissing","classic_070.mp3","","","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_070.mp3"
"ExpectedMissing","classic_100.mp3","","","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_100.mp3"
"ExpectedMissing","classic_123.mp3","","","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_123.mp3"
"ExpectedMissing","classic_181.mp3","","","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_181.mp3"
